item_name,synonym
Led drivers 24v,led drivers 24v
Led fixtures,led fixtures
Ledbalist,ledbalist
Lift,lift
Light ballast,light ballast
"Light bulb, ballast, materials","light bulb, ballast, materials"
Light bulbs,light bulbs
Light fixtures,light fixtures
Lighting contactor,lighting contactor
Lithonia Lighting 3324 2-Light White Fluorescent Flushmount Fixture,lithonia lighting 3324 2-light white fluorescent flushmount fixture
Live End Connectors,live end connectors
Low Profile 6.5 In. 600V White Lamp Socket for Bi-Pin Fluorescent Lamp,low profile 6.5 in. 600v white lamp socket for bi-pin fluorescent lamp
"Misc. - Wire nuts, screws,","misc. - wire nuts, screws,"
Miscellaneous,miscellaneous
Mounting brackets,mounting brackets
New cable,new cable
Optotronic OT25W/PRG1250C/UNV/DIM/J,optotronic ot25w/prg1250c/unv/dim/j
Paid incurred from JOB-241120-0820,paid incurred from job-241120-0820
Philips Advance 2-Lamp T8 Slimline 59W (F96T8) 120-Volt to 277-Volt Electronic Ballast,philips advance 2-lamp t8 slimline 59w (f96t8) 120-volt to 277-volt electronic ballast
Philips Advance AmbiStar 120-Volt 3 to 4-Lamp T8 Instant Start Electronic Fluorescent Replacement Ballast,philips advance ambistar 120-volt 3 to 4-lamp t8 instant start electronic fluorescent replacement ballast
Philips Advance Centium 60-Watt 2-Lamp T12 High Frequency Electronic Replacement Ballast,philips advance centium 60-watt 2-lamp t12 high frequency electronic replacement ballast
Philips Advance Fluorescent Electronic Replacement Ballast,philips advance fluorescent electronic replacement ballast
Philips Advance ICN-2S86-SC l T8 ballast,philips advance icn-2s86-sc l t8 ballast
Philips Advance Optanium 1 or 2-Lamp T8 4 ft. Instant Start Electronic Fluorescent Replacement Ballast,philips advance optanium 1 or 2-lamp t8 4 ft. instant start electronic fluorescent replacement ballast
Philips Advance Optanium 120/277-Volt 4-Lamp T8 Instant Start Electronic Fluorescent Replacement Ballast,philips advance optanium 120/277-volt 4-lamp t8 instant start electronic fluorescent replacement ballast
Philips Advance Optanium 25/30-Watt 2 or 3-Lamp T8 4 ft. Instant Start Electronic Fluorescent Replacement Ballast,philips advance optanium 25/30-watt 2 or 3-lamp t8 4 ft. instant start electronic fluorescent replacement ballast
Power contactor,power contactor
Power contactors,power contactors
Push button,push button
Push in connectors,push in connectors
QD2040,qd2040
Quoted job,quoted job
REDBOX,redbox
Regular,regular
Regular Ballast,regular ballast
Romex SIMpull Solid Indoor CU NM-B W/G Individual pack,romex simpull solid indoor cu nm-b w/g individual pack
S/O SLENDER LIGHT BAR AND CORD,s/o slender light bar and cord
"Sunlite 1000-Watt BT56 Metal Halide High Intensity Discharge E39 Mogul Base 110,000 Lumen Clear HID Light Bulb (1-Bulb)","sunlite 1000-watt bt56 metal halide high intensity discharge e39 mogul base 110,000 lumen clear hid light bulb (1-bulb)"
"Super 88 Vinyl Electrical Tape, Black","super 88 vinyl electrical tape, black"
T5 fixlures,t5 fixlures
T8 Ballast,t8 ballast
T8 Ballast 2 Lamp,t8 ballast 2 lamp
T8 Sockets,t8 sockets
T8 ballast 277 volt,t8 ballast 277 volt
T8 ballast 4 lamps,t8 ballast 4 lamps
THHQB1120GFT - GE - 22kA Circuit Breaker,thhqb1120gft - ge - 22ka circuit breaker
Tombstones,tombstones
Total,total
Track Lighting Accessory and Rail Kit,track lighting accessory and rail kit
Track Starter,track starter
Transformer,transformer
Troubleshooting,troubleshooting
UC9020 Four-Speed Slide Fan Control,uc9020 four-speed slide fan control
Ubend lamps,ubend lamps
Unbranded 50 ft. 12 Gauge White Stranded Copper THHN Wire,unbranded 50 ft. 12 gauge white stranded copper thhn wire
WIRE NUTS,wire nuts
Whole case of new like for like fixtures and components,whole case of new like for like fixtures and components
